acao_conservacao_id,acao_conservacao
0,4.4 Protected areas
1,1.2.1.3 Sub-national level
2,1.2.1.1 International level
3,1.2.2.3 Sub-national level
4,2.1 Site/area management
5,1.1 Site/area protection
6,1.2.2.1 International level
7,3 Research actions
8,1.1.2 Implementation
9,5.1.2 National level
10,1.2.1.2 National level
11,4.4.4 Expansion
12,4.4.3 Management
13,5.7.1 Captive breeding/Artificial propagation
14,3.8 Conservation measures
15,1.2.2.2 National level
16,3.2 Population numbers and range
17,5.7 Ex situ conservation actions
18,4.4.1 Identification of new protected areas
19,3.4 Habitat status
20,Patricia da Rosa
21,4.3 Corridors
22,1 Land/water protection
23,Lucas Moraes
24,5.1 Re-introductions
25,4.4.2 Establishment
26,5.1.3 Sub-national level
27,5.1.1 International level
28,4.3 Awareness & communications
29,5.4.2 National level
30,5.4.1 International level
31,3 Species management
32,5 Law & policy
33,17. Unknown
34,3.1 Taxonomy
35,5 Species-based actions
36,3.4 Ex-situ conservation
37,2.3 Habitat & natural process restoration
38,3.3 Biology and Ecology
39,1.2.2 Implementation
40,1 Policy-based actions
41,2 Land/water management
42,4 Education & awareness
43,"6 Livelihood, economic & other incentives"
44,1.2 Resource & habitat protection
45,4.1 Maintenance/Conservation
46,3.6 Uses and harvest levels
47,4.2 Restoration
48,3.3.1 Reintroduction
49,4 Habitat and site-based actions
50,2 Communication and Education
51,1.2 Legislation
52,1.1 Management plans
53,5.3.1 Harvest management
54,5.3 Sustainable use
55,5.4 Recovery management
56,2.2 Awareness
57,"Liana conhecida por registros efetuados nos municípios de Niterói, Italva e Rio de Janeiro, no norte fluminense, foi recentemente coletada no Parque Estadual da Serra da Tiririca pela campanha “Procura-se” (CNCFlora/JBRJ/SEA). É possível suspeitar, com base nas informações fornecidas pelos especialistas, que a espécie tenha subpopulações bem pontuais e com poucos indivíduos, uma vez que suas sementes, desprovidas de arilo, parecem estar adaptadas à dispersão em curtas distâncias e seu tempo de geração foi estimado em cerca de 60 meses. Lírio e Freitas (com. pess.) também indicaram a existência de três subpopulações conhecidas, além de reportarem a provável extinção da subpopulação documentada historicamente na cidade do Rio de Janeiro. Essa subpopulação possivelmente desapareceu após o acelerado processo de expansão urbana pelo qual a cidade passou, principalmente nas localidades que costumava ocupar. A subpopulação encontrada dentro dos limites do Parque Estadual da Serra da Tiririca, apesar da aparente estabilidade, encontra-se vulnerável aos efeitos do turismo desordenado e à consequente degradação de seu hábitat. Com EOO=3359 km², AOO=36 km², subpopulações apresentando distribuição pontual e sujeitas a menos de cinco situações de ameaça, suspeita-se que esteja havendo declínio contínuo da EOO, AOO, qualidade do hábitat e número de subpopulações."
58,3.9 Trends/Monitoring
59,3.2 Species recovery
60,9. Construction/structural materials
61,5.4.3 Sub-national level
62,3.4.1 Captive breeding/artificial propagation
63,Eduardo Fernandez
64,16. Other
65,6 Other
66,4.1 Formal education
67,Rodrigo Amaro
68,5.8 Other
