ameaca_id,ameaca
0,7.1.1 Increase in fire frequency/intensity
1,1.1 Agriculture
2,1.1.2 Wood plantation
3,1.1.4 Livestock
4,1 Habitat Loss/Degradation (human induced)
5,2.1.2 Small-holder farming
6,1.3 Tourism & recreation areas
7,1.1 Housing & urban areas
8,2 Agriculture & aquaculture
9,2.3 Livestock farming & ranching
10,"2.3.2 Small-holder grazing, ranching or farming"
11,7.1 Fire & fire suppression
12,4.1 Roads & railroads
13,9.5 Air-borne pollutants
14,8.4.2 Named species
15,2.2 Wood & pulp plantations
16,5.2 Gathering terrestrial plants
17,2.3.4 Scale Unknown/Unrecorded
18,2.1.4 Scale Unknown/Unrecorded
19,1.3.3 Wood
20,1.4 Infrastructure development
21,10.5 Fire
22,2 Invasive alien species (directly affecting the species)
23,1.7 Fire
24,10 Human disturbance
25,7 Natural disaster
26,8.1 Invasive non-native/alien species/diseases
27,1.3.1 Mining
28,1.4.3 Tourism/recreation
29,10.1 Recreation/tourism
30,5.3 Logging & wood harvesting
31,1 Residential & commercial development
32,3.2 Mining & quarrying
33,2.1.3 Agro-industry farming
34,7.2.10 Large dams
35,"2.3.3 Agro-industry grazing, ranching or farming"
36,1.1.4.3 Agro-industry
37,1.1.1.1 Shifting Agriculture
38,1.5 Invasive alien species (directly impacting habitat)
39,1.4.8 Power line
40,1.3.3.2 Selective logging
41,1.3.4 Non-woody vegetation collection
42,3.3 Fuel
43,9.9 Restricted range
44,1.1.4.2 Small-holder
45,1.3 Extraction
46,3 Harvesting (hunting/gathering)
47,"13. Pets/display animals, horticulture"
48,1.1.2.2 Large-scale
49,9.1 Limited dispersal
50,9.2 Poor recruitment/reproduction/regeneration
51,1.1.3.2 Large-scale
52,1.1.1.3 Agro-industry farming
53,1.4.2 Human settlement
54,1.4.6 Dam
55,1.1.1 Crop
56,1.4.4 Transport - land/air
57,1.2.2 Change of management regime
58,2.1 Annual & perennial non-timber crops
59,9.1.1 Sewage
60,9.1.3 Type Unknown/Unrecorded
61,8.1.1 Unspecified species
62,2.2.3 Scale Unknown/Unrecorded
63,2.2.2 Agro-industry plantations
64,5.2.4 Motivation Unknown/Unrecorded
65,5.3.5 Motivation Unknown/Unrecorded
66,5.3.1 Intentional use: subsistence/small scale (species being assessed is the target) [harvest]
67,6.1 Atmospheric pollution
68,7.3 Other ecosystem modifications
69,7.2 Dams & water management/use
70,8.2.2 Named species
71,5.1.2 Unintentional effects (species being assessed is not the target)
72,1.2 Commercial & industrial areas
73,5.3.2 Intentional use: large scale (species being assessed is the target) [harvest]
74,9 Intrinsic factor
75,9.5 Low densitie
76,9.1 Domestic & urban waste water
77,9 Pollution
78,11.1 Habitat shifting & alteration
79,4 Transportation & service corridors
80,5.3.4 Unintentional effects: large scale (species being assessed is not the target) [harvest]
81,7.2.3 Abstraction of surface water (agricultural use)
82,7.2.11 Dams (size unknown)
83,2.2.1 Small-holder plantations
84,2.4.2 Industrial aquaculture
85,1.1 Site/area protection
86,1.1.6 Marine aquaculture
