especie_id,nome_cientifico,grupo_taxonomico
0,Justicia birae,Angiospermas
1,Justicia carajensis,Angiospermas
2,Justicia cowanii,Angiospermas
3,Justicia divergens,Angiospermas
4,Justicia mcdadeana,Angiospermas
5,Justicia potamogeton,Angiospermas
6,Justicia pseudoamazonica,Angiospermas
7,Justicia ulei,Angiospermas
8,Justicia viridiflavescens,Angiospermas
9,Justicia zarucchii,Angiospermas
10,Lepidagathis callistachys,Angiospermas
11,Lepidagathis paraensis,Angiospermas
12,Mendoncia multiflora,Angiospermas
13,Mendoncia rizziniana,Angiospermas
14,Pachystachys gracilis,Angiospermas
15,Ruellia anamariae,Angiospermas
16,Ruellia hirsutissima,Angiospermas
17,Ruellia nitida,Angiospermas
18,Carpotroche froesiana,Angiospermas
19,Lindackeria paraensis,Angiospermas
20,Alstroemeria paraensis,Angiospermas
21,Urceolina castelnaeana,Angiospermas
22,Anacardium microsepalum,Angiospermas
23,Polygonanthus amazonicus,Angiospermas
24,Polygonanthus punctulatus,Angiospermas
25,Annona amazonica,Angiospermas
26,Annona angustifolia,Angiospermas
27,Annona annonoides,Angiospermas
28,Annona calcarata,Angiospermas
29,Annona longipedicellata,Angiospermas
30,Annona paraensis,Angiospermas
31,Annona poeppigii,Angiospermas
32,Bocageopsis pleiosperma,Angiospermas
33,Cymbopetalum euneurum,Angiospermas
34,Cymbopetalum physaloides,Angiospermas
35,Diclinanona matogrossensis,Angiospermas
36,Duckeanthus grandiflorus,Angiospermas
37,Duguetia arenicola,Angiospermas
38,Duguetia aripuanae,Angiospermas
39,Duguetia elliptica,Angiospermas
40,Duguetia longicuspis,Angiospermas
41,Duguetia manausensis,Angiospermas
42,Duguetia megalocarpa,Angiospermas
43,Duguetia oblongifolia,Angiospermas
44,Duguetia subcordata,Angiospermas
45,Guatteria amapaensis,Angiospermas
46,Guatteria campinensis,Angiospermas
47,Guatteria cryandra,Angiospermas
48,Guatteria duckeana,Angiospermas
49,Guatteria elongata,Angiospermas
50,Guatteria friesiana,Angiospermas
51,Guatteria hispida,Angiospermas
52,Guatteria japurensis,Angiospermas
53,Guatteria myriocarpa,Angiospermas
54,Guatteria odorata,Angiospermas
55,Guatteria oriximinae,Angiospermas
56,Guatteria polyantha,Angiospermas
57,Guatteria sabuletorum,Angiospermas
58,Guatteria trichostemon,Angiospermas
59,Malmea manausensis,Angiospermas
60,Oxandra asbeckii,Angiospermas
61,Pseudoxandra borbensis,Angiospermas
62,Pseudoxandra duckei,Angiospermas
63,Pseudoxandra obscurinervis,Angiospermas
64,Pseudoxandra pilosa,Angiospermas
65,Pseudoxandra rionegrensis,Angiospermas
66,Unonopsis duckei,Angiospermas
67,Unonopsis heterotricha,Angiospermas
68,Xylopia annoniflora,Angiospermas
69,Xylopia calophylla,Angiospermas
70,Xylopia egleriana,Angiospermas
71,Xylopia longicuspis,Angiospermas
72,Xylopia polyantha,Angiospermas
73,Xylopia trichostemon,Angiospermas
74,Xylopia uniflora,Angiospermas
75,Xylopia xylantha,Angiospermas
76,Ambelania duckei,Angiospermas
77,Aspidosperma auriculatum,Angiospermas
78,Aspidosperma huberianum,Angiospermas
79,Aspidosperma inundatum,Angiospermas
80,Aspidosperma obscurinervium,Angiospermas
81,Aspidosperma salgadense,Angiospermas
82,Aspidosperma spruceanum,Angiospermas
83,Aspidosperma williamii,Angiospermas
84,Forsteronia amazonica,Angiospermas
85,Forsteronia manausana,Angiospermas
86,Forsteronia paludosa,Angiospermas
87,Forsteronia prancei,Angiospermas
88,Galactophora pulchella,Angiospermas
89,Geissospermum urceolatum,Angiospermas
90,Hylaea leptoloba,Angiospermas
91,Lacmellea densifoliata,Angiospermas
92,Lacmellea floribunda,Angiospermas
93,Lacmellea gracilis,Angiospermas
94,Laubertia brasiliensis,Angiospermas
95,Malouetia amazonica,Angiospermas
96,Malouetia amplexicaulis,Angiospermas
97,Malouetia aquatica,Angiospermas
98,Malouetia gracillima,Angiospermas
99,Malouetia lata,Angiospermas
100,Malouetia nitida,Angiospermas
101,Malouetia pumila,Angiospermas
102,Mandevilla arenicola,Angiospermas
103,Mandevilla krukovii,Angiospermas
104,Matelea brasiliensis,Angiospermas
105,Matelea friesii,Angiospermas
106,Matelea microphylla,Angiospermas
107,Matelea quindecimlobata,Angiospermas
108,Molongum zschokkeiforme,Angiospermas
109,Nephradenia reflexa,Angiospermas
110,Pacouria paraensis,Angiospermas
111,Parahancornia amara,Angiospermas
112,Parahancornia krukovii,Angiospermas
113,Prestonia amazonica,Angiospermas
114,Prestonia macroneura,Angiospermas
115,Prestonia plumierifolia,Angiospermas
116,Rauvolfia pentaphylla,Angiospermas
117,Rhodocalyx rotundifolius,Angiospermas
118,Rhytidostemma fontellanum,Angiospermas
119,Ruehssia amylacea,Angiospermas
120,Ruehssia bergii,Angiospermas
121,Ruehssia thomasii,Angiospermas
122,Secondatia duckei,Angiospermas
123,Spongiosperma longilobum,Angiospermas
124,Tabernaemontana angulata,Angiospermas
125,Tabernaemontana brasiliensis,Angiospermas
126,Tabernaemontana cumata,Angiospermas
127,Tabernaemontana grandiflora,Angiospermas
128,Tabernaemontana muricata,Angiospermas
129,Tassadia guanchezii,Angiospermas
130,Cathedra paraensis,Angiospermas
131,Ilex petiolaris,Angiospermas
