avaliacao_id,data_avaliacao,reavaliacao,historico_de_avaliacoes,grupo_nome,categoria_risco,nome_cientifico,grupo_taxonomico
0,2018,Não se aplica,"Inéditas não ameaçadas (NT, DD, LC)",Angiospermas,DD,,
1,2013,Não,Continuou em P443 na mesma categoria de ameaça (sem reavaliação),Angiospermas,EN,,
2,2013,NAO INFORMADO,NAO INFORMADO,Angiospermas,LC,,
3,2013,NAO INFORMADO,NAO INFORMADO,Angiospermas,LC,,
4,2013,NAO INFORMADO,NAO INFORMADO,Angiospermas,LC,,
5,2013,Não,Continuou em P443 na mesma categoria de ameaça (sem reavaliação),Angiospermas,VU,,
6,2013,Não,Continuou em P443 na mesma categoria de ameaça (sem reavaliação),Angiospermas,EN,,
7,2013,NAO INFORMADO,NAO INFORMADO,Angiospermas,LC,,
8,2013,NAO INFORMADO,NAO INFORMADO,Angiospermas,LC,,
9,2018,Não se aplica,"Inéditas ameaçadas (CR, EN, VU)",Angiospermas,EN,,
10,2013,NAO INFORMADO,NAO INFORMADO,Angiospermas,LC,,
11,2013,NAO INFORMADO,NAO INFORMADO,Angiospermas,LC,,
12,2018,Não se aplica,"Inéditas ameaçadas (CR, EN, VU)",Angiospermas,VU,,
13,2013,NAO INFORMADO,NAO INFORMADO,Angiospermas,LC,,
14,2013,NAO INFORMADO,NAO INFORMADO,Angiospermas,LC,,
15,2013,Não,Continuou em P443 na mesma categoria de ameaça (sem reavaliação),Angiospermas,EN,,
16,2013,Não,Continuou em P443 na mesma categoria de ameaça (sem reavaliação),Angiospermas,CR,,
17,2018,Não se aplica,"Inéditas não ameaçadas (NT, DD, LC)",Angiospermas,DD,,
18,2013,NAO INFORMADO,NAO INFORMADO,Angiospermas,NT,,
19,2018,Não se aplica,"Inéditas não ameaçadas (NT, DD, LC)",Angiospermas,DD,,
20,2013,NAO INFORMADO,NAO INFORMADO,Angiospermas,LC,,
21,2013,NAO INFORMADO,NAO INFORMADO,Angiospermas,DD,,
22,2013,Não,Continuou em P443 na mesma categoria de ameaça (sem reavaliação),Angiospermas,EN,,
23,2013,NAO INFORMADO,NAO INFORMADO,Angiospermas,LC,,
24,2013,NAO INFORMADO,NAO INFORMADO,Angiospermas,LC,,
25,2013,Não,Continuou em P443 na mesma categoria de ameaça (sem reavaliação),Angiospermas,VU,,
26,2018,Não se aplica,"Inéditas não ameaçadas (NT, DD, LC)",Angiospermas,DD,,
27,2013,NAO INFORMADO,NAO INFORMADO,Angiospermas,LC,,
28,2013,NAO INFORMADO,NAO INFORMADO,Angiospermas,LC,,
29,2013,NAO INFORMADO,NAO INFORMADO,Angiospermas,LC,,
30,2018,Não se aplica,"Inéditas ameaçadas (CR, EN, VU)",Angiospermas,EN,,
31,2018,Não se aplica,"Inéditas ameaçadas (CR, EN, VU)",Angiospermas,EN,,
32,2018,Sim,Continuou em P443 na mesma categoria de ameaça (após reavaliação),Angiospermas,EN,,
33,2013,NAO INFORMADO,NAO INFORMADO,Angiospermas,LC,Justicia pseudoamazonica,Angiospermas
34,2013,Não,Continuou em P443 na mesma categoria de ameaça (sem reavaliação),Angiospermas,VU,,
35,2013,NAO INFORMADO,NAO INFORMADO,Angiospermas,LC,,
36,2013,NAO INFORMADO,NAO INFORMADO,Angiospermas,LC,,
37,2013,Não,Continuou em P443 na mesma categoria de ameaça (sem reavaliação),Angiospermas,VU,,
38,2013,NAO INFORMADO,NAO INFORMADO,Angiospermas,NT,,
39,2013,NAO INFORMADO,NAO INFORMADO,Angiospermas,LC,,
40,2013,Não,Continuou em P443 na mesma categoria de ameaça (sem reavaliação),Angiospermas,EN,,
41,2013,Não,Continuou em P443 na mesma categoria de ameaça (sem reavaliação),Angiospermas,EN,,
42,2013,NAO INFORMADO,NAO INFORMADO,Angiospermas,LC,,
43,2013,NAO INFORMADO,NAO INFORMADO,Angiospermas,LC,,
44,2013,NAO INFORMADO,NAO INFORMADO,Angiospermas,LC,,
45,2013,NAO INFORMADO,NAO INFORMADO,Angiospermas,LC,,
46,2013,NAO INFORMADO,NAO INFORMADO,Angiospermas,DD,,
47,2013,NAO INFORMADO,NAO INFORMADO,Angiospermas,LC,,
