avaliacao_id,ameaca_id
0,0
5,1
5,2
5,3
6,4
7,4
8,4
9,5
9,6
9,7
9,8
9,9
12,5
12,10
12,6
12,7
12,11
15,4
16,4
17,12
17,13
17,14
17,11
17,6
19,15
19,11
19,16
19,17
20,4
22,4
26,5
26,0
30,12
30,0
30,6
30,7
30,18
31,0
31,5
31,10
31,6
31,7
32,5
32,10
32,6
32,7
32,0
32,12
32,13
34,4
34,1
34,19
37,20
37,21
37,22
37,1
40,1
40,21
41,23
41,4
53,4
55,12
55,7
55,0
55,9
56,24
56,25
57,12
57,0
57,6
57,7
57,26
58,4
59,27
60,4
61,27
61,28
62,27
62,28
62,3
62,23
63,27
63,29
63,3
63,23
65,30
65,9
65,31
65,8
66,9
66,32
67,30
67,33
67,12
67,34
68,33
68,35
68,32
68,12
68,34
71,4
71,4
71,1
71,4
72,4
72,4
72,1
72,4
72,4
72,4
73,4
73,4
73,1
73,36
74,4
74,3
74,1
74,37
74,38
75,4
75,1
75,4
76,38
76,39
76,29
77,4
77,28
77,38
78,38
78,3
78,27
79,23
79,3
79,4
79,38
80,20
80,4
80,1
80,4
80,40
81,4
81,4
81,4
82,3
82,23
82,1
82,4
83,23
83,4
84,1
84,28
84,41
84,4
84,42
84,27
84,38
84,23
85,27
86,1
86,38
87,43
87,4
95,1
95,38
96,4
101,4
102,4
103,23
103,3
103,29
105,4
105,27
106,4
106,23
106,44
107,4
109,4
109,1
110,43
110,4
112,4
112,43
113,4
115,4
115,19
115,38
116,4
117,4
119,1
120,4
121,45
123,4
124,4
125,3
125,23
127,4
129,4
130,4
131,4
132,27
132,46
133,4
134,47
135,4
135,48
136,1
137,49
137,41
138,0
138,6
139,50
139,4
140,1
140,38
141,51
142,51
144,4
144,52
144,53
144,3
144,54
146,4
146,53
146,53
147,55
148,28
148,3
148,23
149,41
149,56
150,27
150,46
151,4
152,57
153,4
154,3
155,47
156,4
157,1
157,2
157,38
157,41
158,4
160,27
161,43
161,4
161,38
162,33
162,35
162,32
162,12
164,30
164,58
164,9
164,12
164,32
164,34
165,33
165,35
165,32
165,12
165,7
165,59
166,33
166,7
166,18
166,35
166,34
166,59
166,60
167,58
167,9
167,30
168,61
168,33
168,17
169,40
170,30
170,7
170,6
171,40
172,30
172,7
172,58
172,11
172,32
173,33
173,18
173,62
173,17
173,32
174,33
174,17
174,34
174,18
174,59
175,40
175,4
176,33
176,7
176,6
176,32
176,59
176,60
177,4
178,33
178,18
178,59
180,35
180,33
181,38
183,7
183,33
183,18
183,63
183,62
183,17
183,12
184,7
184,33
184,18
184,62
184,17
185,7
185,33
185,63
185,7
185,0
185,8
187,30
187,7
187,6
188,33
188,18
188,17
188,59
188,35
189,30
189,7
189,9
190,33
190,17
191,33
191,35
191,17
193,12
193,35
193,17
193,32
193,64
193,65
194,33
194,18
195,33
195,7
195,18
195,35
195,65
196,33
196,18
196,35
196,66
198,4
198,67
199,27
199,55
200,27
200,27
200,3
200,23
200,1
201,4
201,55
202,27
202,1
202,67
202,38
203,1
203,1
204,3
204,27
204,3
204,27
204,56
205,27
205,27
205,4
205,4
207,7
207,10
207,32
207,0
207,59
207,60
208,33
208,32
209,65
209,68
211,4
211,43
212,30
213,33
213,35
213,17
214,58
214,9
214,32
214,12
214,30
214,11
214,69
215,4
218,4
219,4
220,50
221,30
221,30
223,13
223,7
224,30
224,33
224,9
224,0
224,70
224,71
225,4
226,4
227,4
228,4
229,4
230,33
230,17
231,7
231,0
231,6
232,7
232,72
232,73
233,18
233,63
233,17
234,30
234,31
235,40
235,74
236,4
236,41
237,30
237,31
237,30
237,9
238,4
239,30
239,30
239,15
239,8
239,6
239,6
240,31
240,7
240,32
240,12
241,75
242,76
242,10
242,77
242,8
242,78
242,9
242,58
243,58
243,9
243,32
243,79
243,30
243,11
243,69
244,58
244,9
244,32
244,79
244,30
244,11
244,69
245,73
245,0
246,9
246,30
247,31
247,8
247,15
247,30
247,77
248,30
249,17
249,32
249,12
250,68
250,73
252,32
252,58
252,30
253,4
255,31
255,58
255,9
255,32
255,79
255,30
255,11
255,69
256,30
256,8
257,31
257,58
257,9
257,32
257,79
257,30
257,11
257,69
258,31
258,58
258,9
258,32
258,79
258,30
258,11
258,69
259,5
259,10
259,6
259,7
260,7
260,18
260,62
260,17
260,65
261,32
261,80
262,7
262,18
262,0
262,6
263,7
263,80
264,7
265,31
265,8
265,15
265,30
266,81
266,30
266,8
267,4
268,17
268,65
269,31
269,8
269,15
269,30
270,30
270,58
270,9
271,35
271,17
271,34
272,31
272,9
272,8
272,30
274,65
274,73
276,4
277,31
278,31
278,58
278,9
278,32
278,79
278,30
278,11
278,69
279,31
279,58
279,9
279,32
279,79
279,30
279,11
279,69
280,30
281,30
281,30
281,31
282,31
282,58
282,9
282,32
282,79
282,30
282,11
282,69
283,31
283,58
283,9
