affiliation_id,nome_normalizado,sigla,endereco,affiliation_full_text
75e94d99-f8de-4992-826e-7ea245cf6eba,INCT MADEIRAS DA AMAZONIA/MCTI/CNPQ/FAPEAM,FAPEAM,"Instituto Nacional de Pesquisas da Amazônia, Av. André Araújo, 2.936, Petropolis, Amazonas, Manaus, 69067-375, Brazil","INCT Madeiras da Amazônia/MCTI/CNPq/FAPEAM, Instituto Nacional de Pesquisas da Amazônia, Av. André Araújo, 2.936, Petropolis, Amazonas, Manaus, 69067-375, Brazil"
fd1cfb65-dd0e-44de-a7c9-4b07704e1a09,WOOD CHEMISTRY LABORATORY,SEM SIGLA,"Instituto Nacional de Pesquisas da Amazônia, AM, Manaus, Brazil","Wood Chemistry Laboratory, Instituto Nacional de Pesquisas da Amazônia, AM, Manaus, Brazil"
4732e5a9-d57c-48c6-832f-1b844123975e,ENGINEERING AND WOOD ARTIFACTS LABORATORY,SEM SIGLA,"Instituto Nacional de Pesquisas da Amazônia, AM, Manaus, Brazil","Engineering and Wood Artifacts Laboratory, Instituto Nacional de Pesquisas da Amazônia, AM, Manaus, Brazil"
25447696-9c33-461a-b109-0b7284fecf0c,FOREST MANAGEMENT LABORATORY,SEM SIGLA,"Instituto Nacional de Pesquisas da Amazônia, AM, Manaus, Brazil","Forest Management Laboratory, Instituto Nacional de Pesquisas da Amazônia, AM, Manaus, Brazil"
063002fb-5238-45e6-ae49-870df9c9b383,UNIVERSIDADE FEDERAL RURAL DA AMAZONIA - UFRA,UFRA,"PA, Belém, Brazil","Universidade Federal Rural da Amazônia - UFRA, PA, Belém, Brazil"
e078556a-5520-4977-ab75-98e41249d78d,FUNDACAO AMAZONIA DE AMPARO A ESTUDOS E PESQUISAS,SEM SIGLA,"PA, Belém, Brazil","Fundação Amazônia de Amparo a Estudos e Pesquisas, PA, Belém, Brazil"
da9b10e1-8c1b-4910-b6af-c489096dee12,UNIVERSIDADE ESTADUAL DA REGIAO TOCANTINA DO MARANHAO UEMASUL,SEM SIGLA,"MA, Imperatriz, Brazil","Universidade Estadual da Região Tocantina do Maranhão – UEMASUL, MA, Imperatriz, Brazil"
d6781ba8-520d-4f43-92a2-e198225aa699,EMBRAPA AMAZONIA ORIENTAL EMBRAPA,SEM SIGLA,"PA, Belém, Brazil","Embrapa Amazônia Oriental – Embrapa, PA, Belém, Brazil"
6b5c6a3a-aa4b-44f1-8f77-d119575d0dfe,UNIVERSIDADE FEDERAL DO PARA UFPA,UFPA,"PA, Belém, Brazil","Universidade Federal do Pará – UFPA, PA, Belém, Brazil"
579d35cc-33da-497e-826d-120440ac94ad,NEW YORK BOTANICAL GARDEN,SEM SIGLA,"2900 Southern Blvd, Bronx, 10458–5126, NY, United States","New York Botanical Garden, 2900 Southern Blvd, Bronx, 10458–5126, NY, United States"
185eef58-045f-4890-ad51-c1e655db881b,HERBARIO UNIVERSIDAD DE ANTIOQUIA HUA Y GRUPO DE ESTUDIOS BOTANICOS GEOBOTA,HUA,"Instituto de Biología, Facultad de Ciencias Exactas y Naturales, Universidad de Antioquia, A.A, Medellín, 1226, Colombia","Herbario Universidad de Antioquia (HUA) y Grupo de Estudios Botánicos (GEOBOTA), Instituto de Biología, Facultad de Ciencias Exactas y Naturales, Universidad de Antioquia, A.A, Medellín, 1226, Colombia"
d4b85c8d-2af3-459d-b378-503a3909a6ae,HERBARIO GABRIEL GUTIERREZ VILLEGAS MEDEL Y SEMILLERO EN ESTUDIOS TAXONOMICOS DE PLANTAS DE COLOMBIA,MEDEL,"Facultad de Ciencias, Universidad Nacional de Colombia, A.A, Medellín, 3840, Colombia","Herbario Gabriel Gutiérrez Villegas (MEDEL) y Semillero en estudios taxonómicos de plantas de Colombia, Facultad de Ciencias, Universidad Nacional de Colombia, A.A, Medellín, 3840, Colombia"
853567ca-9985-4b5d-b1bf-d03aaab2ae27,CHROMATOGRAPHY LABORATORY,SEM SIGLA,"Chemistry Department, Federal University of Amazonas, AM, Manaus, Brazil","Chromatography Laboratory, Chemistry Department, Federal University of Amazonas, AM, Manaus, Brazil"
de8e4147-79ef-4f4a-a022-c48f534c880c,LABORATORY OF MEDICINAL PLANTS AND DERIVATIVES,SEM SIGLA,"Department of Chemistry of Natural Products, Farmanguinhos, Oswaldo Cruz Foundation, RJ, Rio de Janeiro, Brazil","Laboratory of Medicinal Plants and Derivatives, Department of Chemistry of Natural Products, Farmanguinhos, Oswaldo Cruz Foundation, RJ, Rio de Janeiro, Brazil"
a6bb140a-9502-44ae-a264-8d28c6252df0,BRAZILIAN NATIONAL INSTITUTE FOR RESEARCH IN THE AMAZON,SEM SIGLA,"Coordination Society of Environment and Health (COSAS) and Laboratory of Physical Chemistry of Food (LFQA), AM, Manaus, Brazil","Brazilian National Institute for Research in the Amazon, Coordination Society of Environment and Health (COSAS) and Laboratory of Physical Chemistry of Food (LFQA), AM, Manaus, Brazil"
20a41c65-4be4-44fa-a13e-592cfa9e016b,LABORATORY OF PLANT GENETICS AND TOXICOLOGY,SEM SIGLA,"Department of Biological Sciences Federal University of Espirito Santo, Espirito Santo, Vitoria, Brazil","Laboratory of Plant Genetics and Toxicology, Department of Biological Sciences Federal University of Espirito Santo, Espirito Santo, Vitoria, Brazil"
ea652051-e134-4518-ba7f-72a5d2477484,INSTITUTO DE PESQUISAS JARDIM BOTANICO DO RIO DE JANEIRO,SEM SIGLA,"Rua Pacheco Leão, 915, RJ, Rio de Janeiro, 22460-030, Brazil","Instituto de Pesquisas Jardim Botânico do Rio de Janeiro, Rua Pacheco Leão, 915, RJ, Rio de Janeiro, 22460-030, Brazil"
e8952bb6-935e-4422-8cd5-105a085e349c,DEPARTAMENTO DE BOTANICA,SEM SIGLA,"Instituto de Biociências, Universidade de São Paulo, Rua do Matão 277,SP, São Paulo, 05508-090, Brazil","Departamento de Botânica, Instituto de Biociências, Universidade de São Paulo, Rua do Matão 277,SP, São Paulo, 05508-090, Brazil"
0c796482-fb6e-4da4-b225-aceed2a9516b,LABORATORY OF PLANT PHYSIOLOGY AND BIOCHEMISTRY,SEM SIGLA,"National Institute for Amazonian Research-INPA, Ave. André Araújo, 2936, Aleixo, Manaus, 69011-970, AM, Brazil","Laboratory of Plant Physiology and Biochemistry, National Institute for Amazonian Research-INPA, Ave. André Araújo, 2936, Aleixo, Manaus, 69011-970, AM, Brazil"
deedf1d0-f418-43cf-91b4-5dc20e4a864f,DEPARTMENT OF CHEMISTRY,SEM SIGLA,"Institute of Exact Sciences, Federal University of Amazonas, Avenida Rodrigo Otávio, 6200, Coroado, AM, Manaus, 69077-000, Brazil","Department of Chemistry, Institute of Exact Sciences, Federal University of Amazonas, Avenida Rodrigo Otávio, 6200, Coroado, AM, Manaus, 69077-000, Brazil"
