especie_id,nome_cientifico
0,Justicia birae
1,Justicia carajensis
2,Justicia cowanii
3,Justicia divergens
4,Justicia mcdadeana
5,Justicia potamogeton
6,Justicia pseudoamazonica
7,Justicia ulei
8,Justicia viridiflavescens
9,Justicia zarucchii
10,Lepidagathis callistachys
11,Lepidagathis paraensis
12,Mendoncia multiflora
13,Mendoncia rizziniana
14,Pachystachys gracilis
15,Ruellia anamariae
16,Ruellia hirsutissima
17,Ruellia nitida
18,Carpotroche froesiana
19,Lindackeria paraensis
20,Alstroemeria paraensis
21,Urceolina castelnaeana
22,Anacardium microsepalum
23,Polygonanthus amazonicus
24,Polygonanthus punctulatus
25,Annona amazonica
26,Annona angustifolia
27,Annona annonoides
28,Annona calcarata
29,Annona longipedicellata
30,Annona paraensis
31,Annona poeppigii
32,Bocageopsis pleiosperma
33,Cymbopetalum euneurum
34,Cymbopetalum physaloides
35,Diclinanona matogrossensis
36,Duckeanthus grandiflorus
37,Duguetia arenicola
38,Duguetia aripuanae
39,Duguetia elliptica
40,Duguetia longicuspis
41,Duguetia manausensis
42,Duguetia megalocarpa
43,Duguetia oblongifolia
44,Duguetia subcordata
45,Guatteria amapaensis
46,Guatteria campinensis
47,Guatteria cryandra
48,Guatteria duckeana
49,Guatteria elongata
50,Guatteria friesiana
51,Guatteria hispida
52,Guatteria japurensis
53,Guatteria myriocarpa
54,Guatteria odorata
55,Guatteria oriximinae
56,Guatteria polyantha
57,Guatteria sabuletorum
58,Guatteria trichostemon
59,Malmea manausensis
60,Oxandra asbeckii
61,Pseudoxandra borbensis
62,Pseudoxandra duckei
63,Pseudoxandra obscurinervis
64,Pseudoxandra pilosa
65,Pseudoxandra rionegrensis
66,Unonopsis duckei
67,Unonopsis heterotricha
68,Xylopia annoniflora
69,Xylopia calophylla
70,Xylopia egleriana
71,Xylopia longicuspis
72,Xylopia polyantha
73,Xylopia trichostemon
74,Xylopia uniflora
75,Xylopia xylantha
76,Ambelania duckei
77,Aspidosperma auriculatum
78,Aspidosperma huberianum
79,Aspidosperma inundatum
80,Aspidosperma obscurinervium
81,Aspidosperma salgadense
82,Aspidosperma spruceanum
83,Aspidosperma williamii
84,Forsteronia amazonica
85,Forsteronia manausana
86,Forsteronia paludosa
87,Forsteronia prancei
88,Galactophora pulchella
89,Geissospermum urceolatum
90,Hylaea leptoloba
91,Lacmellea densifoliata
92,Lacmellea floribunda
93,Lacmellea gracilis
94,Laubertia brasiliensis
95,Malouetia amazonica
96,Malouetia amplexicaulis
97,Malouetia aquatica
98,Malouetia gracillima
99,Malouetia lata
100,Malouetia nitida
101,Malouetia pumila
102,Mandevilla arenicola
103,Mandevilla krukovii
104,Matelea brasiliensis
105,Matelea friesii
106,Matelea microphylla
107,Matelea quindecimlobata
108,Molongum zschokkeiforme
109,Nephradenia reflexa
110,Pacouria paraensis
111,Parahancornia amara
112,Parahancornia krukovii
113,Prestonia amazonica
114,Prestonia macroneura
115,Prestonia plumierifolia
116,Rauvolfia pentaphylla
117,Rhodocalyx rotundifolius
118,Rhytidostemma fontellanum
119,Ruehssia amylacea
120,Ruehssia bergii
121,Ruehssia thomasii
122,Secondatia duckei
123,Spongiosperma longilobum
124,Tabernaemontana angulata
125,Tabernaemontana brasiliensis
126,Tabernaemontana cumata
127,Tabernaemontana grandiflora
128,Tabernaemontana muricata
129,Tassadia guanchezii
130,Cathedra paraensis
131,Ilex petiolaris
132,Adelonema erytropus
133,Adelonema wendlandii
134,Alloschemone inopinata
135,Anaphyllopsis cururuana
136,Anthurium curicuriariense
137,Anthurium icanense
138,Anthurium krukovii
139,Anthurium mayoanum
140,Anthurium pranceanum
141,Anthurium ptarianum
142,Anthurium sagittatum
143,Anthurium vittariifolium
144,Bognera recondita
145,Caladium amazonicum
146,Caladium intermedium
147,Dieffenbachia parvifolia
148,Dracontium laetum
149,Dracontium narae
150,Dracontium prancei
151,Heteropsis duckeana
152,Heteropsis reticulata
153,Heteropsis spruceana
154,Homalomena crinipes
155,Lorenzia umbrosa
156,Philodendron caracaraiense
157,Philodendron carajasense
158,Philodendron cardosoi
159,Philodendron hopkinsianum
160,Philodendron joaosilvae
161,Philodendron lupinum
162,Philodendron melloi
163,Philodendron nullinervium
164,Philodendron pinnatilobum
165,Philodendron prancei
166,Philodendron rio-pretense
167,Philodendron squamiferum
168,Philodendron toshibai
169,Philodendron traunii
170,Rhodospatha moritziana
