no,title,publication_number,family_number
1,MARINE BIOMASS REACTOR AND METHODS RELATED THERETO,US2018206423A1,61189536
2,INSECTICIDAL PROTEINS AND METHODS FOR THEIR USE,"US10781458B2,US2020010514A1",54396965
1,ANTI-PYRETIC VASODILATORS,US2010292280A1,39864457
2,COSMETIC COMPOSITION CONTAINING MOISTURIZING PLANT EXTRACT,JP2001122732A,17922236
3,SPECIAL EXTRACT AND USE THEREOF FOR INHIBITING THE DEGRADATION OF CYCLIC GUANOSINE MONOPHOSPHATE (cGMP),"US2010119627A1,US8329228B2",38121795
4,TOPICAL PAIN RELIEF COMPOSITION,"WO2024182624A2,WO2024182624A3",92590450
5,ANTIANDROGEN AGENT,JPH10139680A,18242676
6,COMPOSITION FOR ORAL CAVITY,JP2001055318A,17424107
7,Manufacturing process of vegetable colorant extracts from residues generated in the extraction and processing of wood from tropical forest of colorful heartwood,US2009223000A1,41052078
8,COMPOSITIONS AND METHODS FOR TREATING INFLAMMATION,WO2025030105A1,94395913
9,COMPOSITIONS AND METHODS FOR TREATING WOUNDS,US2020390841A1,73744680
10,ABIENOL-PRODUCING SOMACLONAL VARIANTS OF NICOTIANA,US5177306A,26945426
11,"FLAVOURING AGENT, COMPOSITION, PRODUCTION METHOD AND USE OF AROMATISING AND FLAVOURING AGENTS BASED ON VANILLA EXTRACT",US2025031732A1,86538465
12,DRUG FOR ORGANA URINARIA,JP2011116734A,44282489
13,MEDICINE,JP2012126715A,46644156
14,PRECISION CANNABINOID THERAPY FORMULATIONS AND METHODS OF USE,US2024050451A1,80845834
15,"HAIR GROWTH PROMOTER, MEDICINE, FOOD AND COSMETIC CONTAINING EXTRACT OF PASSION FRUIT SEEDS AS ACTIVE INGREDIENT","JP2019196327A,JP7642299B2",68537220
16,"METHOD OF STABILIZING STILBENE INCLUDED IN PLANT EXTRACT OR ITS SOLUTION, AND PLANT EXTRACT CONTAINING STILBENE OR ITS SOLUTION","JP2014224049A,JP6343126B2",52123038
17,"OIL TASTE IMPROVER FOR FOOD AND DRINK, METHOD FOR IMPROVING OIL TASTE OF FOOD AND DRINK, AND COMPOSITION FOR FOOD AND DRINK","JP2017099330A,JP6625417B2",59014916
18,"AGENT FOR IMPROVING BITTER TASTE OF FOOD AND BEVERAGE PRODUCT, METHOD FOR IMPROVING BITTER TASTE OF FOOD AND BEVERAGE PRODUCT, AND COMPOSITION FOR FOOD AND BEVERAGE PRODUCT","JP2017035011A,JP6552097B2",58046803
19,LIPOSOME FORMULATION OF POLYPHENOL AND PRODUCTION METHOD THEREOF,JP2016183142A,57242582
20,"METHOD OF STABILIZING PICEATANNOL INCLUDED IN WATER-CONTAINING SOLUTION OF PLANT EXTRACT, AND WATER-CONTAINING SOLUTION OF PLANT EXTRACT","JP2014224051A,JP6077384B2",52123040
21,W/O/W TYPE EMULSION,JP2016088912A,56016550
22,"ASTROCYTE DIFFERENTIATION INDUCER, AND GFAP EXPRESSION INDUCER",JP2016094406A,56070146
23,"SOLUTION OF PLANT EXTRACT CONTAINING PICEATANNOL, AND METHOD OF STABILIZING PICEATANNOL INCLUDED IN THE SOLUTION",JP2014224048A,52123037
24,GENE EXPRESSION ENHANCER,"JP2020164456A,JP7269067B2",72717209
25,"PICEATANNOL SOLUTION, AND METHOD OF STABILIZING PICEATANNOL SOLUTION","JP2014224050A,JP6209360B2",52123039
26,SIRTUIN EXPRESSION ENHANCER AGENT,JP2017071575A,58539614
27,GAPDH GENE EXPRESSION ENHANCER AND GAPDH GENE EXPRESSION ENHANCING FOOD COMPOSITION,JP2017214322A,60575228
28,ADAPTOGEN FORMULATIONS AND METHODS OF USE,US2025000927A1,88102171
29,METHOD OF PRODUCING PURIFIED STILBENE COMPOUNDS,"US10730815B2,US2016115110A1",55068739
30,FOOD AND BEVERAGE,"JP2014212700A,JP5285194B1",49274052
31,METHOD FOR PRODUCING SOLUTION CONTAINING STILBENE MONOMER,"JP2015010047A,JP6118196B2",52303516
32,ORAL CARE,US2015174059A1,49385309
33,AGENTS AND METHODS FOR ENHANCING EXPRESSION OF UCP1 GENE,JP2016185922A,57202931
34,COMPOSITIONS FOR THE MODULATION OF TASTE,WO2025024478A1,94375769
35,PHOTOAGING INHIBITOR,JP2015155394A,54774969
36,METHOD AND DEVICE TO TRAP ACARIDS,US2018027793A1,52464200
37,EXTERNAL PREPARATION FOR SKIN,JP2004067549A,32013984
38,Health supplement,US2009110674A1,40583126
39,COMPOSITIONS AND METHODS FOR PROMOTING WEIGHT LOSS AND INCREASING ENERGY,US2013136810A1,45556338
40,IDENTIFICATION METHOD OF TWO PARENTS OF NYMPHAEA HYBRID BASED ON SEQUENCES OF INTERNAL TRANSCRIBED SPACER (ITS) AND matK,US2023407416A1,82437647
41,CRUDE DRUG-CONTAINING COMPOSITION,"JP2005213156A,JP4797326B2",34903181
42,COMPOSITION FOR PREVENTING OR IMPROVING HYPERLIPIDEMIA,"JP2004256476A,JP4465963B2",33116047
43,PREVENTIVE/THERAPEUTIC AGENT FOR OSTEOPOROSIS,JP2000191542A,18509576
44,"processo de obten��o e uso dos componentes e produtos origin�rios da planta da esp�cie rourea induta planch: var induta, connaraceae",BRPI1002686A2,45560239
45,PREVENTING OR IMPROVING AGENT FOR ANXIETY OR GENERALIZED ANXIETY SYNDROME,JP2003089650A,19107619
46,ORAL COMPOSITION,JPH11343244A,26414286
47,HAIR COSMETIC,JPH11189514A,18488811
48,PREPARATION FOR EXTERNAL USE FOR SKIN,JPH11171724A,18477307
49,COMPOSITION COMPRISING A FIG PLANT MATERIAL EXTRACT AND USE THEREOF IN THE TREATMENT OF BENIGN PROSTATIC HYPERPLASIA,WO2012032494A1,44774087
50,COMPOSITION FOR PREVENTING OR IMPROVING DEPRESSIVE FEELING,JP2000119187A,17792593
