publication_number,ano
US2018206423A1,2017
"US10781458B2,US2020010514A1",2014
US2010292280A1,2007
JP2001122732A,1999
"US2010119627A1,US8329228B2",2006
"WO2024182624A2,WO2024182624A3",2023
JPH10139680A,1996
JP2001055318A,1999
US2009223000A1,2008
WO2025030105A1,2023
US2020390841A1,2019
US5177306A,1988
US2025031732A1,2021
JP2011116734A,2009
JP2012126715A,2010
US2024050451A1,2020
"JP2019196327A,JP7642299B2",2018
"JP2014224049A,JP6343126B2",2013
"JP2017099330A,JP6625417B2",2015
"JP2017035011A,JP6552097B2",2015
JP2016183142A,2015
"JP2014224051A,JP6077384B2",2013
JP2016088912A,2014
JP2016094406A,2014
JP2014224048A,2013
"JP2020164456A,JP7269067B2",2019
"JP2014224050A,JP6209360B2",2013
JP2017071575A,2015
JP2017214322A,2016
US2025000927A1,2022
"US10730815B2,US2016115110A1",2014
"JP2014212700A,JP5285194B1",2013
"JP2015010047A,JP6118196B2",2013
US2015174059A1,2012
JP2016185922A,2015
WO2025024478A1,2023
JP2015155394A,2014
US2018027793A1,2015
JP2004067549A,2002
US2009110674A1,2007
US2013136810A1,2010
US2023407416A1,2022
"JP2005213156A,JP4797326B2",2004
"JP2004256476A,JP4465963B2",2003
JP2000191542A,1998
BRPI1002686A2,2010
JP2003089650A,2001
JPH11343244A,1998
JPH11189514A,1997
JPH11171724A,1997
WO2012032494A1,2010
JP2000119187A,1998
DE102023110966A1,2023
"AU708667B2,AU7666196A",1995
US2022312791A1,2019
"US11369122B2,US2021161168A1",2018
"US2012142105A1,US9167840B2",2009
AU2020365395A1,2019
US2024099326A1,2019
US2022279808A1,2019
US2020037630A1,2017
"AU700036B2,AU7666396A",1995
"US2012021080A1,US8568798B2",2009
"US10791689B2,US2017367367A1",2015
"US2004268443A1,US7271004B2",2003
"US2015320815A1,US9821018B2",2012
"US11925166B2,US2022232790A1",2019
CN106748541A,2016
US5631282A,1995
CN106728612A,2016
"EP2877041A1,EP2877041B1",2012
CN106699396A,2017
DE102016105993A1,2016
DE102016105992A1,2016
DE102016105997A1,2016
DE102015119155A1,2015
"US11124748B2,US2018317527A1",2015
"FR2949323A1,FR2949323B1",2009
ES2956393A1,2022
US2020397711A1,2019
"JPH04149135A,JPH0757733B2",1990
WO2022167827A1,2021
"GB2603634A,GB2603634B",2020
US2024050503A1,2022
US2017333337A1,2014
US2009030073A1,2006
FR2964302A1,2010
"EP2301357A2,EP2301357A3,EP2301357B1",2009
US2015150922A1,2013
US2023235176A1,2020
"EP1239735A2,EP1239735B1",1999
US2011015226A1,2008
US2008081056A1,2005
JP2024091788A,2018
US2013316028A1,2011
JP2001151634A,1999
CN104188965A,2014
CN103232450A,2013
CN104069105A,2014
CN116849076A,2023
"US2013153087A1,US8555521B2",2010
WO2014130298A1,2013
"BRPI0405995A,BRPI0405995B1,BRPI0405995B8",2004
US2020068817A1,2017
US2007039069A1,2004
CN115804801A,2021
EP1915906A1,2006
"CN114381376A,CN114381376B",2021
US2018343807A1,2017
US5786385A,1993
EP0610059A1,1993
USPP34671P2,2021
WO2024218315A1,2023
KR20160090511A,2015
"BRPI0905584A2,BRPI0905584B1,BRPI0905584B8",2009
