publication_number,especie_id
US10781458B2,1948.0
US2018206423A1,1965.0
US2010292280A1,1851.0
JP2001122732A,1769.0
JPH10139680A,1707.0
JP2001055318A,1707.0
US2009223000A1,1707.0
US5177306A,1556.0
JP2012126715A,1375.0
JP2019196327A,1375.0
JP2014224049A,1375.0
JP2017099330A,1375.0
JP2017035011A,1375.0
JP2016183142A,1375.0
JP2014224051A,1375.0
JP2016088912A,1375.0
JP2016094406A,1375.0
JP2014224048A,1375.0
JP2020164456A,1375.0
JP2014224050A,1375.0
JP2017071575A,1375.0
JP2017214322A,1375.0
US10730815B2,1375.0
JP2014212700A,1375.0
JP2015010047A,1375.0
US2015174059A1,1428.0
JP2016185922A,1375.0
US2009110674A1,1206.0
JP2005213156A,1206.0
JP2004256476A,1206.0
JP2000191542A,1206.0
JP2003089650A,1206.0
JPH11171724A,1206.0
JP2000119187A,1206.0
US2022312791A1,1012.0
US11369122B2,1012.0
US2012142105A1,1012.0
US2024099326A1,1012.0
US2022279808A1,1012.0
US2012021080A1,1012.0
US10791689B2,1012.0
US11925166B2,1012.0
US5631282A,959.0
US11124748B2,824.0
GB2603634A,795.0
US2017333337A1,821.0
US2015150922A1,821.0
US2008081056A1,647.0
US2013316028A1,693.0
JP2001151634A,559.0
US2013153087A1,695.0
