article_id,especie_id
2-s2.0-85162981044,887
2-s2.0-85149013333,874
2-s2.0-85160833451,292
2-s2.0-85167577291,1707
2-s2.0-85143804200,76
2-s2.0-85164330112,1822
2-s2.0-85104643201,576
2-s2.0-85189165101,845
2-s2.0-85180253143,631
2-s2.0-85177492685,1191
2-s2.0-85142458747,896
2-s2.0-85164014254,1480
2-s2.0-85127555538,1428
2-s2.0-85188150277,1281
2-s2.0-85124005642,1532
2-s2.0-85132537421,683
2-s2.0-85135730861,1427
2-s2.0-85178385301,683
2-s2.0-85126999621,996
2-s2.0-85129068950,602
2-s2.0-85118181962,139
2-s2.0-85154576999,402
2-s2.0-85117324730,1059
2-s2.0-85184823294,785
2-s2.0-85120745143,849
2-s2.0-85101250241,785
2-s2.0-85179043779,1889
2-s2.0-85125060481,372
2-s2.0-85103397524,563
2-s2.0-85182146882,894
2-s2.0-85185267229,1889
2-s2.0-85130950378,1889
2-s2.0-85142443390,563
2-s2.0-85127431422,763
2-s2.0-85167693202,566
2-s2.0-85146179730,894
2-s2.0-85182739878,423
2-s2.0-85158094907,1532
2-s2.0-85180594890,559
2-s2.0-85180488167,1603
2-s2.0-85099005983,50
2-s2.0-85175699890,50
2-s2.0-85143637863,1356
2-s2.0-85142315500,559
2-s2.0-85184514492,1898
2-s2.0-85138517489,822
2-s2.0-85130703864,50
2-s2.0-85144986923,514
2-s2.0-85104492172,688
2-s2.0-85104492172,785
2-s2.0-85104492172,1889
2-s2.0-85127319916,1355
2-s2.0-85161323162,1183
2-s2.0-85118877429,1182
2-s2.0-85190590083,785
2-s2.0-85170659126,1136
2-s2.0-85167798644,979
2-s2.0-85111971188,629
2-s2.0-85177439490,1158
2-s2.0-85186930141,1373
2-s2.0-85172475721,1897
2-s2.0-85106037341,1375
2-s2.0-85156262842,1355
2-s2.0-85173751983,1248
2-s2.0-85106351717,576
2-s2.0-85123542732,785
2-s2.0-85127869936,821
2-s2.0-85133506373,576
2-s2.0-85125892630,647
2-s2.0-85129314895,1290
2-s2.0-85139093557,631
2-s2.0-85174273200,785
2-s2.0-85163943874,403
2-s2.0-85189015272,60
2-s2.0-85103550502,912
2-s2.0-85127413836,879
2-s2.0-85118758577,553
2-s2.0-85146764078,1889
2-s2.0-85174258737,429
2-s2.0-85144640872,32
2-s2.0-85144640872,66
2-s2.0-85186541194,770
2-s2.0-85143206570,166
2-s2.0-85147115879,1210
2-s2.0-85147115879,1220
2-s2.0-85144287213,314
2-s2.0-85129748392,187
2-s2.0-85178366865,629
2-s2.0-85162914415,1355
2-s2.0-85141945065,1821
2-s2.0-85182883827,797
2-s2.0-85179317489,1498
2-s2.0-85128864690,699
2-s2.0-85142502815,1481
2-s2.0-85142757634,376
2-s2.0-85156100756,403
2-s2.0-85105243252,1294
2-s2.0-85153780111,804
2-s2.0-85178366909,576
2-s2.0-85113286336,1975
2-s2.0-85113286336,532
2-s2.0-85096399876,1357
2-s2.0-85089755438,1363
2-s2.0-85073074277,1167
2-s2.0-85091881694,785
2-s2.0-85087164686,785
2-s2.0-85092596322,1794
2-s2.0-85074511166,399
2-s2.0-85095876854,1554
2-s2.0-85088432675,576
2-s2.0-85065967738,1265
2-s2.0-85108850760,528
2-s2.0-85081551954,10
2-s2.0-85078052315,1152
2-s2.0-85078052315,1180
2-s2.0-85078052315,1154
2-s2.0-85111303098,1041
2-s2.0-85102883991,1073
2-s2.0-85076162915,553
2-s2.0-85065975354,1141
2-s2.0-85091464344,1787
2-s2.0-85064530368,291
2-s2.0-85095720110,1427
2-s2.0-85122739825,745
2-s2.0-85105123193,1145
2-s2.0-85098096022,1100
2-s2.0-85073105693,1019
2-s2.0-85058112114,1718
2-s2.0-85094932101,1363
2-s2.0-85077657408,937
2-s2.0-85114431868,736
2-s2.0-85114431868,743
2-s2.0-85067993095,432
2-s2.0-85060153362,1373
2-s2.0-85147778405,1889
2-s2.0-85092598485,1130
2-s2.0-85101454060,821
2-s2.0-85053693704,167
2-s2.0-85104342983,1360
2-s2.0-85099114927,822
2-s2.0-85090671054,1149
2-s2.0-85090671054,1164
2-s2.0-85090671054,1166
2-s2.0-85067686831,1718
2-s2.0-85113806664,632
2-s2.0-85087213747,1032
2-s2.0-85113812785,1976
2-s2.0-85113812785,1532
2-s2.0-85151551430,1818
2-s2.0-85107156642,581
2-s2.0-85085896549,647
2-s2.0-85077996219,1977
2-s2.0-85077996219,785
2-s2.0-85064147880,544
2-s2.0-85070437136,570
2-s2.0-85088022895,1978
2-s2.0-85088022895,29
2-s2.0-85077147501,785
2-s2.0-85071956296,1770
2-s2.0-85116503808,527
2-s2.0-85108584959,297
2-s2.0-85089731945,1337
2-s2.0-85054395326,188
2-s2.0-85103282980,894
2-s2.0-85066866777,78
2-s2.0-85076836502,785
2-s2.0-85078486162,785
2-s2.0-85090624696,1979
2-s2.0-85090624696,1355
2-s2.0-85108295039,929
2-s2.0-85108295039,927
2-s2.0-85054190130,50
2-s2.0-85100887042,532
2-s2.0-85080966834,627
2-s2.0-85101466130,1980
2-s2.0-85101466130,504
2-s2.0-85073113658,1
2-s2.0-85098183763,874
2-s2.0-85097776852,1440
2-s2.0-85088123413,1320
2-s2.0-85074848958,85
2-s2.0-85074848958,87
2-s2.0-85065974583,1111
2-s2.0-85065974583,1981
2-s2.0-85079230523,1823
2-s2.0-85097541658,1982
2-s2.0-85097541658,1250
2-s2.0-85094813579,559
2-s2.0-85090662962,1983
2-s2.0-85090662962,82
2-s2.0-85074667818,1532
2-s2.0-85074599806,821
2-s2.0-85087099287,50
2-s2.0-85097138935,1760
2-s2.0-85078610926,553
2-s2.0-85094201510,879
2-s2.0-85053032973,785
2-s2.0-85125010911,700
2-s2.0-85096050609,286
2-s2.0-85078231596,1648
2-s2.0-85054192575,785
2-s2.0-85075999750,404
2-s2.0-85075999750,403
2-s2.0-85083049251,632
2-s2.0-85093905419,1984
2-s2.0-85093905419,1357
2-s2.0-85068854718,570
2-s2.0-85114306828,1104
2-s2.0-85091243022,403
2-s2.0-85086797947,821
2-s2.0-85098167198,1102
2-s2.0-85021821810,303
2-s2.0-85021821810,304
2-s2.0-85025426964,1206
2-s2.0-85067600018,894
2-s2.0-85062621183,1977
2-s2.0-85062621183,785
2-s2.0-85037688609,1073
2-s2.0-85069891495,629
2-s2.0-85054805733,629
2-s2.0-85043512672,834
2-s2.0-85032908701,1554
2-s2.0-85046461677,251
2-s2.0-85006760581,212
2-s2.0-85006760581,196
2-s2.0-85006760581,201
2-s2.0-85006760581,200
2-s2.0-85026677594,583
2-s2.0-85014631053,1524
2-s2.0-85018348296,1359
2-s2.0-85034583263,623
2-s2.0-85062033504,743
2-s2.0-85036657232,534
2-s2.0-85053709607,775
2-s2.0-85003441768,301
2-s2.0-85059746200,1707
2-s2.0-85033679196,15
2-s2.0-85040583722,94
2-s2.0-85033463828,683
2-s2.0-85017552986,1551
2-s2.0-85049806601,1506
2-s2.0-85037052514,1580
2-s2.0-85037052514,1571
2-s2.0-85037052514,1630
2-s2.0-85053664327,498
2-s2.0-85037374757,152
2-s2.0-85055171727,688
2-s2.0-85032017642,1889
2-s2.0-85019127272,1151
2-s2.0-85072229800,589
2-s2.0-85062004304,1985
2-s2.0-85062004304,1418
2-s2.0-85065929489,102
2-s2.0-84964614559,374
2-s2.0-85042001880,106
2-s2.0-85019651270,1127
2-s2.0-85019651270,1137
2-s2.0-85019651270,1181
2-s2.0-85034069093,699
2-s2.0-85006826184,1825
2-s2.0-85074206595,1080
2-s2.0-85050410324,662
2-s2.0-85056630858,959
2-s2.0-85031812464,50
2-s2.0-85021297507,86
2-s2.0-85053270291,295
2-s2.0-85062102823,1825
2-s2.0-85029214215,899
2-s2.0-85006356943,1372
2-s2.0-85019109930,1052
2-s2.0-85040964417,683
2-s2.0-85069867743,743
2-s2.0-85068444503,1450
2-s2.0-85028515482,240
2-s2.0-85061959843,688
2-s2.0-85002213830,621
2-s2.0-84979516711,50
2-s2.0-85021065218,1986
2-s2.0-85021065218,1450
2-s2.0-85028305944,68
2-s2.0-85014589606,1760
2-s2.0-85054463852,599
2-s2.0-85014752613,1707
2-s2.0-84994718341,603
2-s2.0-85037043530,477
2-s2.0-85075166353,629
2-s2.0-85006789668,426
2-s2.0-85055352826,1639
2-s2.0-85065498821,1375
2-s2.0-85033684988,3
2-s2.0-85053688341,1502
2-s2.0-85053688341,1506
2-s2.0-85053688341,1498
2-s2.0-85045903329,60
2-s2.0-85045952219,629
2-s2.0-85028248668,1373
2-s2.0-85053668037,782
2-s2.0-85032023093,821
2-s2.0-85053856369,743
2-s2.0-85017637514,1647
2-s2.0-85037639863,365
2-s2.0-85037047527,1359
2-s2.0-85067632025,894
2-s2.0-85054589315,248
2-s2.0-85044768089,821
2-s2.0-85021772737,1046
2-s2.0-85015692519,423
2-s2.0-85053529119,563
2-s2.0-85027097994,403
2-s2.0-85086761538,1707
2-s2.0-85044294782,759
2-s2.0-85044309943,949
2-s2.0-85030720831,425
2-s2.0-85053283173,298
2-s2.0-85078543698,1987
2-s2.0-85078543698,1158
2-s2.0-85054344762,66
2-s2.0-85029228687,162
2-s2.0-84942570634,1988
2-s2.0-84942570634,223
2-s2.0-84957998578,256
2-s2.0-84924133209,1101
2-s2.0-84952885235,1104
2-s2.0-84951336297,959
2-s2.0-84926643180,1713
2-s2.0-84885602802,1405
2-s2.0-84888402460,1388
2-s2.0-84888402460,1390
2-s2.0-84929247128,32
2-s2.0-84963705379,1989
2-s2.0-84963705379,599
2-s2.0-84886743843,785
2-s2.0-84903732335,1056
2-s2.0-84947087101,703
2-s2.0-84932139355,1575
2-s2.0-84932139355,1578
2-s2.0-84940096134,1728
2-s2.0-84939248793,1148
2-s2.0-84948958232,743
2-s2.0-84944384828,1597
2-s2.0-84882602636,1373
2-s2.0-84893318139,699
2-s2.0-84887217645,685
2-s2.0-84958757484,576
2-s2.0-84947944527,785
2-s2.0-84987657385,1032
2-s2.0-84954420616,688
2-s2.0-84931832385,1819
2-s2.0-84892749888,152
2-s2.0-84940902884,678
2-s2.0-84979752242,82
2-s2.0-84894542744,1392
2-s2.0-84901945307,182
2-s2.0-84930933045,399
2-s2.0-84994633797,879
2-s2.0-84979913023,1450
2-s2.0-84973293532,427
2-s2.0-84940839512,795
2-s2.0-84939258722,157
2-s2.0-84932093110,129
2-s2.0-84948465589,1639
2-s2.0-84923999814,821
2-s2.0-84976524460,1036
2-s2.0-84951284607,559
2-s2.0-84951284607,576
